Name,File
Nat.Linear.Expr.toPoly.go.induct,Init.Data.Nat.Linear
Finset.sum_induction,Mathlib.Algebra.BigOperators.Group.Finset.Defs
List.getLast,Init.Data.List.Basic
forall₃_imp,Mathlib.Logic.Basic
Lean.Grind.CommRing.denoteInt,Init.Grind.CommRing.Poly
Lean.Elab.withInfoHole,Lean.Elab.InfoTree.Main
Multiset.noncommSum_induction,Mathlib.Data.Finset.NoncommProd
Array.forall_mem_empty,Init.Data.Array.Lemmas
HahnSeries.leadingCoeff,Mathlib.RingTheory.HahnSeries.Basic
LaurentPolynomial.induction_on,Mathlib.Algebra.Polynomial.Laurent
List.foldrIdxM,Mathlib.Data.List.Defs
affineSpan_induction,Mathlib.LinearAlgebra.AffineSpace.AffineSubspace.Defs
MeasureTheory.Lp.simpleFunc.induction,Mathlib.MeasureTheory.Function.SimpleFuncDenseLp
Fin.hIterate_elim,Init.Data.Fin.Iterate
Std.DHashMap.Internal.Raw₀.Const.getDₘ,Std.Data.DHashMap.Internal.Model
uniqueElim,Mathlib.Logic.Unique
Int.Linear.Poly.combine'.induct,Init.Data.Int.Linear
Dense.extend,Mathlib.Topology.DenseEmbedding
dbgTraceIfShared,Init.Util
Fin.cons,Mathlib.Data.Fin.Tuple.Basic
Cardinal.induction_on_pi,Mathlib.SetTheory.Cardinal.Defs
Aesop.Frontend.RuleConfig.getSuccessProbability,Aesop.Frontend.RuleExpr
Batteries.RBNode.forM,Batteries.Data.RBMap.Basic
CategoryTheory.ObjectProperty.prop_zero,Mathlib.CategoryTheory.ObjectProperty.ContainsZero
Finset.centroidWeightsIndicator,Mathlib.LinearAlgebra.AffineSpace.Combination
GenContFract.nextDen,Mathlib.Algebra.ContinuedFractions.Basic
Std.ExtDHashMap.getKey!,Std.Data.ExtDHashMap.Basic
Std.TreeMap.Raw.keyAtIndexD,Std.Data.TreeMap.Raw.Basic
DirectSum.induction_lon,Mathlib.LinearAlgebra.FreeProduct.Basic
List.andM,Mathlib.Data.List.Defs
Lean.Syntax.MonadTraverser.getCur,Lean.Syntax
UV.compress,Mathlib.Combinatorics.SetFamily.Compression.UV
Mathlib.Tactic.BicategoryLike.HorizontalComp.srcM,Mathlib.Tactic.CategoryTheory.Coherence.Normalize
Std.HashSet.fold,Std.Data.HashSet.Basic
MeasureTheory.L1.SimpleFunc.setToL1S,Mathlib.MeasureTheory.Integral.SetToL1
Lean.MVarId.modifyLCtx,Lean.MetavarContext
CategoryTheory.GradedObject.mapObjFun,Mathlib.CategoryTheory.GradedObject
PresentedAddMonoid.inductionOn,Mathlib.Algebra.PresentedMonoid.Basic
Filter.Germ.liftOn,Mathlib.Order.Filter.Germ.Basic
CategoryTheory.MorphismProperty.IsStableUnderBaseChange.snd,Mathlib.CategoryTheory.MorphismProperty.Limits
IsLocalization.integerMultiple,Mathlib.RingTheory.Localization.Integer
Fin2.cases',Mathlib.Data.Fin.Fin2
Option.elim',Mathlib.Data.Option.Defs
abs_by_cases,Mathlib.Algebra.Order.Group.Unbundled.Abs
Quot.liftOn,Init.Core
Lean.hasAssignableLevelMVar,Lean.MetavarContext
WeierstrassCurve.b₈,Mathlib.AlgebraicGeometry.EllipticCurve.Weierstrass
Std.DHashMap.Internal.Raw₀.Const.getₘ,Std.Data.DHashMap.Internal.Model
extendFrom,Mathlib.Topology.ExtendFrom
WeierstrassCurve.Projective.dblY,Mathlib.AlgebraicGeometry.EllipticCurve.Projective.Formula
Surreal.lift₂,Mathlib.SetTheory.Surreal.Basic
of_eq,Mathlib.Order.Defs.Unbundled
Lean.PersistentArray.foldrM,Lean.Data.PersistentArray
Lean.EnvExtension.findStateAsync,Lean.Environment
gramSchmidtNormed,Mathlib.Analysis.InnerProductSpace.GramSchmidtOrtho
Std.DHashMap.Raw.Internal.foldRev,Std.Data.DHashMap.Raw
CategoryTheory.MorphismProperty.IsStableUnderBaseChange.pullback_map,Mathlib.CategoryTheory.MorphismProperty.Limits
Ultrafilter.extend,Mathlib.Topology.StoneCech
aeSeq,Mathlib.MeasureTheory.Function.AEMeasurableSequence
Nat.rel_of_forall_rel_succ_of_le_of_le,Mathlib.Order.Monotone.Basic
Encodable.choose_spec,Mathlib.Logic.Encodable.Basic
Function.rightLim,Mathlib.Topology.Order.LeftRightLim
LaurentPolynomial.reduce_to_polynomial_of_mul_T,Mathlib.Algebra.Polynomial.Laurent
Finsupp.induction,Mathlib.Data.Finsupp.Single
trans_trichotomous_left,Mathlib.Order.Defs.Unbundled
Std.DTreeMap.Internal.Impl.maxView.induct,Std.Data.DTreeMap.Internal.Model
WeierstrassCurve.b₆,Mathlib.AlgebraicGeometry.EllipticCurve.Weierstrass
FreeMagma.recOnMul,Mathlib.Algebra.Free
CategoryTheory.FreeMonoidalCategory.projectObj,Mathlib.CategoryTheory.Monoidal.Free.Basic
